,name,selling_price,km_driven,fuel,seller_type,transmission,owner,age,company
0,Maruti 800 AC,60000,70000,Petrol,Individual,Manual,First Owner,15,Maruti
1,Maruti Wagon R LXI Minor,135000,50000,Petrol,Individual,Manual,First Owner,15,Maruti
2,Hyundai Verna 1.6 SX,600000,100000,Diesel,Individual,Manual,First Owner,10,Hyundai
3,Datsun RediGO T Option,250000,46000,Petrol,Individual,Manual,First Owner,5,Datsun
4,Honda Amaze VX i-DTEC,450000,141000,Diesel,Individual,Manual,Second Owner,8,Honda
5,Maruti Alto LX BSIII,140000,125000,Petrol,Individual,Manual,First Owner,15,Maruti
6,Hyundai Xcent 1.2 Kappa S,550000,25000,Petrol,Individual,Manual,First Owner,6,Hyundai
7,Tata Indigo Grand Petrol,240000,60000,Petrol,Individual,Manual,Second Owner,8,Tata
8,Hyundai Creta 1.6 VTVT S,850000,25000,Petrol,Individual,Manual,First Owner,7,Hyundai
9,Maruti Celerio Green VXI,365000,78000,CNG,Individual,Manual,First Owner,5,Maruti
10,Chevrolet Sail 1.2 Base,260000,35000,Petrol,Individual,Manual,First Owner,7,Chevrolet
11,Tata Indigo Grand Petrol,250000,100000,Petrol,Individual,Manual,First Owner,8,Tata
12,Toyota Corolla Altis 1.8 VL CVT,1650000,25000,Petrol,Dealer,Automatic,First Owner,4,Toyota
13,Maruti 800 AC,60000,70000,Petrol,Individual,Manual,First Owner,15,Maruti
14,Maruti Wagon R LXI Minor,135000,50000,Petrol,Individual,Manual,First Owner,15,Maruti
15,Hyundai Verna 1.6 SX,600000,100000,Diesel,Individual,Manual,First Owner,10,Hyundai
16,Datsun RediGO T Option,250000,46000,Petrol,Individual,Manual,First Owner,5,Datsun
17,Honda Amaze VX i-DTEC,450000,141000,Diesel,Individual,Manual,Second Owner,8,Honda
18,Maruti Alto LX BSIII,140000,125000,Petrol,Individual,Manual,First Owner,15,Maruti
19,Hyundai Xcent 1.2 Kappa S,550000,25000,Petrol,Individual,Manual,First Owner,6,Hyundai
20,Tata Indigo Grand Petrol,240000,60000,Petrol,Individual,Manual,Second Owner,8,Tata
21,Hyundai Creta 1.6 VTVT S,850000,25000,Petrol,Individual,Manual,First Owner,7,Hyundai
22,Maruti Celerio Green VXI,365000,78000,CNG,Individual,Manual,First Owner,5,Maruti
23,Chevrolet Sail 1.2 Base,260000,35000,Petrol,Individual,Manual,First Owner,7,Chevrolet
24,Tata Indigo Grand Petrol,250000,100000,Petrol,Individual,Manual,First Owner,8,Tata
25,Toyota Corolla Altis 1.8 VL CVT,1650000,25000,Petrol,Dealer,Automatic,First Owner,4,Toyota
26,Maruti Ciaz VXi Plus,585000,24000,Petrol,Dealer,Manual,First Owner,7,Maruti
27,Hyundai Venue SX Opt Diesel,1195000,5000,Diesel,Dealer,Manual,First Owner,3,Hyundai
28,Chevrolet Enjoy TCDi LTZ 7 Seater,390000,33000,Diesel,Individual,Manual,Second Owner,9,Chevrolet
29,Jaguar XF 2.2 Litre Luxury,1964999,28000,Diesel,Dealer,Automatic,First Owner,8,Jaguar
30,Mercedes-Benz New C-Class 220 CDI AT,1425000,59000,Diesel,Dealer,Automatic,First Owner,9,Mercedes
31,Maruti Vitara Brezza ZDi Plus AMT,975000,4500,Diesel,Dealer,Automatic,First Owner,4,Maruti
32,Audi Q5 2.0 TDI,1190000,175900,Diesel,Dealer,Automatic,First Owner,11,Audi
33,Honda City V MT,930000,14500,Petrol,Dealer,Manual,First Owner,4,Honda
34,Tata Tigor 1.2 Revotron XT,525000,15000,Petrol,Individual,Manual,First Owner,4,Tata
35,Audi A6 2.0 TDI  Design Edition,1735000,50000,Diesel,Dealer,Automatic,First Owner,9,Audi
36,Mercedes-Benz New C-Class C 220 CDI Avantgarde,1375000,33800,Diesel,Dealer,Automatic,Second Owner,10,Mercedes
37,Skoda Superb Ambition 2.0 TDI CR AT,450000,130400,Diesel,Dealer,Automatic,Second Owner,11,Skoda
38,Toyota Corolla Altis G AT,900000,50000,Petrol,Individual,Automatic,First Owner,6,Toyota
39,Toyota Innova 2.5 G (Diesel) 7 Seater,1300000,80000,Diesel,Individual,Manual,First Owner,7,Toyota
40,Jeep Compass 1.4 Sport Plus BSIV,1400000,10000,Petrol,Individual,Manual,First Owner,3,Jeep
41,Mercedes-Benz E-Class E 200 CGI Elegance,850000,119000,Petrol,Dealer,Automatic,First Owner,12,Mercedes
42,Hyundai i10 Magna 1.1L,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner,8,Hyundai
43,BMW 3 Series 320d Sport Line,1550000,75800,Diesel,Dealer,Automatic,Second Owner,9,BMW
44,Audi Q7 35 TDI Quattro Premium,1250000,78000,Diesel,Dealer,Automatic,Third Owner,13,Audi
45,Hyundai Elantra CRDi S,625000,40000,Diesel,Individual,Manual,First Owner,10,Hyundai
46,Mahindra Scorpio 1.99 S10,1050000,50000,Diesel,Individual,Manual,First Owner,8,Mahindra
47,Honda City i DTEC V,560000,74000,Diesel,Individual,Manual,Second Owner,8,Honda
48,Maruti Wagon R VXI BS IV with ABS,290000,64000,Petrol,Individual,Manual,Second Owner,8,Maruti
49,Maruti Wagon R VXI BS IV,275000,60000,Petrol,Individual,Manual,Second Owner,10,Maruti
50,Mahindra Scorpio LX,411000,120000,Diesel,Individual,Manual,Second Owner,13,Mahindra
51,Hyundai Santro Xing GLS,150000,79000,Petrol,Individual,Manual,Third Owner,13,Hyundai
52,Hyundai Grand i10 1.2 Kappa Asta,500000,15000,Petrol,Individual,Manual,First Owner,3,Hyundai
53,Maruti Alto LXi,100000,80000,Petrol,Individual,Manual,First Owner,16,Maruti
54,Maruti Swift Dzire VDI Optional,725000,18500,Diesel,Dealer,Manual,First Owner,5,Maruti
55,Maruti Eeco 5 Seater AC BSIV,401000,10200,Petrol,Dealer,Manual,First Owner,4,Maruti
56,Hyundai i20 Sportz 1.4 CRDi,750000,29000,Diesel,Dealer,Manual,First Owner,4,Hyundai
57,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,310000,28000,Petrol,Dealer,Manual,First Owner,4,Maruti
58,Maruti Swift ZDi BSIV,665000,46000,Diesel,Dealer,Manual,First Owner,6,Maruti
59,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,465000,70000,Diesel,Dealer,Manual,First Owner,8,Hyundai
60,Maruti Alto LXi,160000,60000,Petrol,Individual,Manual,Second Owner,10,Maruti
61,Mahindra Jeep CL 500 MDI,250000,35000,Diesel,Individual,Manual,Second Owner,26,Mahindra
62,Honda City i DTEC VX,675000,90000,Diesel,Dealer,Manual,First Owner,8,Honda
63,Maruti Wagon R VXI BS IV,300000,80000,Petrol,Dealer,Manual,First Owner,9,Maruti
64,Tata Indica DLS,70000,80000,Diesel,Individual,Manual,First Owner,17,Tata
65,Hyundai EON Magna Plus,240000,73300,Petrol,Dealer,Manual,Second Owner,8,Hyundai
66,Toyota Etios GD,525000,92000,Diesel,Dealer,Manual,First Owner,8,Toyota
67,Maruti Alto LXi,151000,66764,Petrol,Dealer,Manual,Second Owner,13,Maruti
68,Maruti Alto LXi,140000,100000,Petrol,Individual,Manual,First Owner,13,Maruti
69,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,280000,350000,Diesel,Individual,Manual,Second Owner,12,Chevrolet
70,Toyota Corolla Altis Diesel D4DG,350000,230000,Diesel,Individual,Manual,First Owner,11,Toyota
71,Mahindra Scorpio 1.99 S6 Plus,570000,60000,Diesel,Individual,Manual,First Owner,5,Mahindra
72,Hyundai EON Magna Plus,300000,31000,Petrol,Individual,Manual,First Owner,4,Hyundai
73,Tata Indigo Classic Dicor,100000,39000,Diesel,Individual,Manual,First Owner,15,Tata
74,Toyota Innova 2.5 V Diesel 8-seater,500000,120000,Diesel,Individual,Manual,Third Owner,13,Toyota
75,Tata Indica Vista Quadrajet LS,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner,8,Tata
76,Maruti Swift 1.3 VXi,130000,110000,Petrol,Individual,Manual,Third Owner,16,Maruti
77,Ford EcoSport 1.5 Diesel Titanium BSIV,925000,35000,Diesel,Individual,Manual,First Owner,5,Ford
78,Maruti Ciaz 1.3 Delta,750000,60000,Diesel,Individual,Manual,First Owner,4,Maruti
79,Honda Civic 1.8 V AT,200000,54000,Petrol,Individual,Automatic,Second Owner,15,Honda
80,Hyundai i10 Sportz 1.2,248000,63000,Petrol,Individual,Manual,Second Owner,12,Hyundai
81,Skoda Rapid 1.5 TDI Elegance,450000,120000,Diesel,Individual,Manual,Second Owner,8,Skoda
82,Hyundai Getz GLS,80000,120000,Petrol,Individual,Manual,Third Owner,17,Hyundai
83,Nissan Terrano XL,650000,76000,Petrol,Individual,Manual,Second Owner,8,Nissan
84,Hyundai Grand i10 CRDi Sportz,450000,80000,Diesel,Individual,Manual,First Owner,7,Hyundai
85,Hyundai Elite i20 Diesel Era,650000,25000,Diesel,Individual,Manual,First Owner,3,Hyundai
86,Honda Amaze S i-VTEC,495000,11958,Petrol,Dealer,Manual,First Owner,6,Honda
87,Honda Brio S MT,371000,20000,Petrol,Dealer,Manual,First Owner,7,Honda
88,Hyundai Creta 1.6 SX Option,1025000,9000,Petrol,Dealer,Manual,First Owner,5,Hyundai
89,Mercedes-Benz S-Class S 350d Connoisseurs Edition,8150000,6500,Diesel,Dealer,Automatic,First Owner,5,Mercedes
90,Mahindra XUV500 W8 2WD,750000,70000,Diesel,Individual,Manual,First Owner,7,Mahindra
91,Renault Duster 85PS Diesel RxL Optional,600000,120000,Diesel,Individual,Manual,First Owner,9,Renault
92,Hyundai Santro Xing XO,80000,58000,Petrol,Dealer,Manual,Second Owner,15,Hyundai
93,Mahindra Bolero 2011-2019 SLE,325000,62200,Diesel,Dealer,Manual,First Owner,9,Mahindra
94,Audi A6 2.0 TDI Premium Plus,1470000,34000,Diesel,Dealer,Automatic,Second Owner,8,Audi
95,Fiat Avventura MULTIJET Emotion,350000,53000,Diesel,Individual,Manual,Second Owner,7,Fiat
96,Audi A8 4.2 TDI,2800000,49000,Diesel,Dealer,Automatic,First Owner,9,Audi
97,Datsun RediGO 1.0 S,210000,15000,Petrol,Dealer,Manual,Second Owner,5,Datsun
98,Volkswagen Jetta 1.4 TSI Comfortline,450000,50000,Petrol,Individual,Manual,First Owner,9,Volkswagen
99,Audi A4 2.0 TDI 177 Bhp Premium Plus,1150000,53000,Diesel,Dealer,Automatic,First Owner,9,Audi
100,Honda Civic 1.8 V AT,210000,63500,Petrol,Dealer,Automatic,First Owner,13,Honda
101,Mercedes-Benz E-Class Exclusive E 200 BSIV,4500000,9800,Petrol,Dealer,Automatic,First Owner,4,Mercedes
102,BMW X1 sDrive 20d xLine,2750000,13000,Diesel,Individual,Automatic,First Owner,5,BMW
103,Volvo V40 D3 R Design,1975000,21000,Diesel,Dealer,Automatic,First Owner,4,Volvo
104,Maruti SX4 Zxi BSIII,175000,29173,Petrol,Dealer,Manual,First Owner,14,Maruti
105,BMW 7 Series 730Ld,2500000,48000,Diesel,Dealer,Automatic,First Owner,10,BMW
106,Mahindra Bolero Power Plus SLX,628000,120000,Diesel,Individual,Manual,First Owner,5,Mahindra
107,Hyundai Sonata CRDi M/T,600000,100000,Diesel,Individual,Manual,First Owner,12,Hyundai
108,Nissan Micra Active XV Petrol,399000,30000,Petrol,Individual,Manual,First Owner,5,Nissan
109,Mahindra Xylo D4,750000,87000,Diesel,Individual,Manual,First Owner,4,Mahindra
110,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,750000,15000,Petrol,Individual,Manual,First Owner,3,Hyundai
111,Renault KWID RXT,315000,16000,Petrol,Individual,Manual,First Owner,5,Renault
112,Mahindra Xylo E4 BS III,600000,60000,Diesel,Individual,Manual,First Owner,10,Mahindra
113,Maruti Wagon R LXI Minor,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner,12,Maruti
114,Maruti SX4 ZXI MT BSIV,250000,110000,Petrol,Individual,Manual,Third Owner,11,Maruti
115,Renault KWID RXT,350000,25000,Petrol,Individual,Manual,First Owner,5,Renault
116,Hyundai Creta 1.4 CRDi S,780000,60000,Diesel,Individual,Manual,First Owner,6,Hyundai
117,Maruti Swift Dzire VDI,434000,79350,Diesel,Individual,Manual,Second Owner,8,Maruti
118,Hyundai Verna 1.6 VTVT AT S Option,690000,80000,Petrol,Individual,Automatic,First Owner,6,Hyundai
119,Mahindra Scorpio LX BSIV,555000,90000,Diesel,Individual,Manual,Second Owner,8,Mahindra
120,Maruti SX4 Vxi BSIII,120000,90000,Petrol,Individual,Manual,Second Owner,15,Maruti
121,Maruti Ertiga VDI,500000,120000,Diesel,Individual,Manual,Second Owner,8,Maruti
122,Chevrolet Beat Diesel,165000,60000,Diesel,Individual,Manual,Second Owner,9,Chevrolet
123,Maruti Zen LX,95000,50000,Petrol,Individual,Manual,First Owner,18,Maruti
124,Maruti Baleno Delta 1.2,550000,20000,Petrol,Individual,Manual,First Owner,4,Maruti
125,Maruti Swift Vdi BSIII,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,15,Maruti
126,Tata Nano Lx BSIV,100000,50000,Petrol,Individual,Manual,Second Owner,10,Tata
127,Toyota Innova 2.5 GX (Diesel) 8 Seater,500000,100000,Diesel,Individual,Manual,First Owner,10,Toyota
128,Maruti Ertiga SHVS VDI,800000,70000,Diesel,Individual,Manual,Second Owner,6,Maruti
129,Hyundai Creta 1.6 CRDi SX,840000,70000,Diesel,Individual,Manual,Second Owner,6,Hyundai
130,Honda Amaze S i-Vtech,490000,50000,Petrol,Individual,Manual,First Owner,6,Honda
131,Tata Indica Vista Aqua 1.4 TDI,125000,81000,Diesel,Individual,Manual,Second Owner,12,Tata
132,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,400000,120000,Diesel,Individual,Manual,Third Owner,10,Chevrolet
133,Chevrolet Cruze LTZ,1000000,3600,Diesel,Dealer,Manual,First Owner,7,Chevrolet
134,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,530000,14272,Petrol,Dealer,Manual,First Owner,7,Ford
135,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,840000,49213,Diesel,Dealer,Manual,First Owner,5,Ford
